pregunta,numero
A lo que soy LEAL en mi vida es a...,1
Cuando algo no me SALE...,2
Cuando dejo mi mente en blanco lo primero que APARECE es...,3
Cuando era chiquito/a me gustaba JUGAR con...,4
Cuando estoy TRISTE lo que hago es...,5
Cuando me ENAMORO soy...,6
Cuando me EQUIVOCO con alguien que me importa me siento...,7
Cuando me IGNORAN me siento...,8
Cuando me PIDEN algo que no quiero hacer...,9
Cuando me SIENTO solo/a...,10
Cuando mi SEXTO SENTIDO me dice algo...,11
Cuando MIRO a los ojos me siento...,12
Cuando no PUEDO hacer algo que quiero me siento...,13
Cuando no TENGO un plan me siento...,14
Cuando sea viejito/a me GUSTARÍA...,15
Cuando QUIERO que decir lo que siento...,16
El codigo que jamas ROMPERIA es...,17
El gran ACIERTO de mi vida fué...,18
El GRAN momento de mi vida fué...,19
El PEOR viaje de mi vida fue...,20
En lo que hoy NO CREO ni un poco es en...,21
En lo que me gusta AYUDAR a los demás es en...,22
En lo que nunca PIERDO la esperanza es en...,23
En lo que soy COLGADO/A es...,24
En lo que soy INTOLERANTE es..,25
La mayor LOCURA que hice por amor fue...,26
La mejor pelicula que VI en mi vida es...,27
La noche es IDEAL para...,28
La palabra que menos me REPRESENTA es...,29
La PEOR mentira que dije fue..,30
La persona con que me gustaría REENCONTRARME es..,31
La persona que es un FARO en mi vida es...,32
La persona que mas me hace REIR es..,33
Lo que aun me falta CONCRETAR en mi vida es...,34
Lo que CAMBIARIA de mi es..,35
Lo que DICEN los demas sobre mí...,36
Lo que el DESTINO tiene para mI...,37
Lo que GUIA mi vida es...,38
Lo que hoy ELIJO darle al mundo es...,39
Lo que hoy me cuesta CREER...,40
Lo que hoy me ENAMORA es...,41
Lo que hoy quiero GRITAR es...,42
Lo que jamas COMERÍA es...,43
Lo que jamas SERÉ es...,44
Lo que mas me CUESTA hacer es...,45
Lo que mas me IRRITA es...,46
Lo que mas me REPRESENTA es..,47
Lo que me da CONFIANZA de las personas es...,48
Lo que me da LIBERTAD es...,49
Lo que me da ORGULLO de las personas es...,50
Lo que me da TERROR es..,51
Lo que me da TRISTEZA es...,52
Lo que me FRUSTRA es...,53
Lo que me gustaría CONQUISTAR es...,54
Lo que me gustaría ENSEÑAR es...,55
Lo que me levanta el ANIMO es..,56
Lo que me DEJA sin palabras es..,57
Lo que me pone NERVIOSO/A es..,58
Lo que me saca una SONRISA cada dia es...,59
Lo que menos VALORO de mi es...,60
Lo que NECESITO en este momento es...,61
Lo que NO ME ACUERDO nunca es...,62
Lo que nunca RESIGNARIA es...,63
Lo que nunca voy a ENTENDER es...,64
Lo que PAPA NOEL nunca me trajo fue...,65
Lo que peor me PONE es...,66
Lo que quiero OLVIDAR es...,67
Lo que SUFRO mucho es...,68
Los dias de LLUVIA me...,69
Los TRES DESEOS que hoy pediria son...,70
Mi DIA IDEAL seria en....y con...,71
Mi MAMÁ en mi vida es...,72
Mi mayor APRENDIZAJE de niño/a fue...,73
Mi mayor APRENDIZAJE en la vida fue..,74
Mi mayor DECEPCION fue..,75
Mi mayor DESCUBRIMIENTO fue..,76
Mi mayor DESAFIO es...,77
Mi mejor EDAD hasta ahora fue...,78
Mi meta a CORTO PLAZO es...,79
Mi meta a LARGO PLAZO es...,80
Mi PAPA en mi vida es...,81
Mi PENSAMIENTO recurrente es..,82
Mi PREOCUPACIÓN recurrente es...,83
Mi PEOR defecto es...,84
Mi PEOR momento fue...,85
Mi PRIMER AMOR fue...,86
Mi PRIMER PASO  para cambiar algo es...,87
Mi PRIORIDAD hoy es...,88
Mis AMIGOS en mi vida son...,89
Mis mejores VACACIONES de niño/a fueron...,90
Si fuera INVISIBLE lo que haría es...,91
Si me ENOJO soy como...,92
Si pudiera CAMBIAR MI NOMBRE me llamaría...,93
Si pudiera VIAJAR EN EL TIEMPO iría a...,94
Si tengo que DEFINIRME con una palabra es...,95
Si tengo que elegir el "TITULO DEL LIBRO DE MI VIDA" sería...,96
Si pudiera VOLVER a una etapa de mi vida sería a...,97
SI tuviera SUPERPODERES me gustaría...,98
Tu ALMA GEMELA en esta vida es...,99